"ID","imdbID","Title","Year","Rating","Runtime","Genre","Released","Director","Writer","Cast","Metacritic","imdbRating","imdbVotes","Language","Country","Awards","lastUpdated","Oscars"
107206,"tt0107206","In the Line of Fire",1993,"R",128,"Action, Crime, Drama","1993-07-09","Wolfgang Petersen","Jeff Maguire","Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott",74,7.2,61932,"English","USA","Nominated for 3 Oscars. Another 2 wins & 11 nominations.","2014-03-30 02:44:14.910000000",0
107207,"tt0107207","In the Name of the Father",1993,"R",133,"Biography, Drama, Thriller","1994-02-25","Jim Sheridan","Gerry Conlon (autobiographical book ""Proved Innocent""), Terry George (screenplay), Jim Sheridan (screenplay)","Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson",84,8.2,74455,"English","Ireland, UK, USA","Nominated for 7 Oscars. Another 9 wins & 15 nominations.","2014-03-23 00:01:11.463000000",0
107211,"tt0107211","Indecent Proposal",1993,"R",117,"Drama","1993-04-07","Adrian Lyne","Jack Engelhard (novel), Amy Holden Jones (screenplay)","Robert Redford, Demi Moore, Woody Harrelson, Seymour Cassel",35,5.7,37544,"English","USA","6 wins & 6 nominations.","2014-03-26 02:43:18.027000000",0
107212,"tt0107212","Indian Summer",1993,"PG-13",97,"Comedy, Drama, Romance","1993-04-23","Mike Binder","Mike Binder","Alan Arkin, Matt Craven, Diane Lane, Bill Paxton",NA,6.4,3627,"English","Canada, USA",NA,"2014-03-17 00:53:15.710000000",0
107233,"tt0107233","It's All True",1993,"G",87,"Documentary","1993-10-01","Bill Krohn, Myron Meisel, Orson Welles, Richard Wilson, Norman Foster","Bill Krohn, Richard Wilson, Myron Meisel","Manuel 'Jacare' Olimpio Meira, Jeronimo André De Souza, Raimundo 'Tata' Correia Lima, Manuel 'Preto' Pereira da Silva",NA,7.1,465,"Portuguese, English","France, USA","4 wins & 1 nomination.","2014-02-28 06:04:18.470000000",0
107247,"tt0107247","Jack the Bear",1993,"PG-13",99,"Drama","1993-04-02","Marshall Herskovitz","Dan McCall (novel), Steven Zaillian (screenplay)","Danny DeVito, Robert J. Steinmiller Jr., Miko Hughes, Gary Sinise",NA,6.4,2882,"English","USA","1 win & 2 nominations.","2014-04-02 00:54:46.093000000",0
107254,"tt0107254","Jason Goes to Hell: The Final Friday",1993,"R",87,"Horror, Thriller","1993-08-13","Adam Marcus","Jay Huguely (story), Adam Marcus (story), Dean Lorey (screenplay), Jay Huguely (screenplay)","John D. LeMay, Kari Keegan, Kane Hodder, Steven Williams",NA,4.3,15141,"English","USA",NA,"2014-03-21 00:10:46.847000000",0
107282,"tt0107282","The Joy Luck Club",1993,"R",139,"Drama","1993-10-29","Wayne Wang","Amy Tan (novel), Amy Tan (screenplay), Ronald Bass (screenplay)","Kieu Chinh, Tsai Chin, France Nuyen, Lisa Lu",84,7.6,11289,"English, Mandarin, Cantonese","USA, China","Nominated for 1 BAFTA Film Award. Another 3 wins & 4 nominations.","2014-03-19 01:07:05.590000000",0
107286,"tt0107286","Judgment Night",1993,"R",110,"Action, Crime, Thriller","1993-10-15","Stephen Hopkins","Lewis Colick (story), Jere Cunningham (story), Lewis Colick (screenplay)","Emilio Estevez, Cuba Gooding Jr., Denis Leary, Stephen Dorff",NA,6.6,10039,"English","USA, Japan",NA,"2014-04-04 19:50:44.550000000",0
107290,"tt0107290","Jurassic Park",1993,"PG-13",127,"Adventure, Sci-Fi","1993-06-11","Steven Spielberg","Michael Crichton (novel), Michael Crichton (screenplay), David Koepp (screenplay)","Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",68,8,373499,"English, Spanish","USA","Won 3 Oscars. Another 21 wins & 16 nominations.","2014-03-22 00:13:18.920000000",3
107302,"tt0107302","Kalifornia",1993,"R",117,"Crime, Thriller","1993-09-03","Dominic Sena","Stephen Levy (story), Tim Metcalfe (story), Tim Metcalfe (screenplay)","Brad Pitt, Kathy Larson, David Milford, David Duchovny",49,6.7,35289,"English","USA","3 wins & 4 nominations.","2014-03-17 00:27:00.487000000",0
107315,"tt0107315","Kika",1993,"Unrated",114,"Comedy","1994-05-06","Pedro Almodóvar","Pedro Almodóvar (screenplay), Pedro Almodóvar (story)","Verónica Forqué, Peter Coyote, Victoria Abril, Àlex Casanovas",53,6.5,7717,"Spanish","Spain, France","5 wins & 9 nominations.","2014-03-06 00:39:58.220000000",0
107322,"tt0107322","King of the Hill",1993,"PG-13",103,"Drama, History","1993-08-20","Steven Soderbergh","A.E. Hotchner (memoir), Steven Soderbergh (screenplay)","Jesse Bradford, Jeroen Krabbé, Lisa Eichhorn, Karen Allen",86,7.5,4623,"English","USA","1 win & 5 nominations.","2014-04-04 18:17:26.290000000",0
107362,"tt0107362","Last Action Hero",1993,"PG-13",130,"Action, Adventure, Comedy","1993-06-18","John McTiernan","Zak Penn (story), Adam Leff (story), Shane Black (screenplay), David Arnott (screenplay)","Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance",44,6.1,85326,"English","USA","1 win & 14 nominations.","2014-03-17 00:00:48.330000000",0
107387,"tt0107387","Leprechaun",1993,"R",92,"Comedy, Fantasy, Horror","1993-01-08","Mark Jones","Mark Jones","Warwick Davis, Jennifer Aniston, Ken Olandt, Mark Holton",NA,4.5,13382,"English","USA",NA,"2014-04-04 15:29:09.790000000",0
107426,"tt0107426","Little Buddha",1993,"PG",123,"Drama","1994-05-25","Bernardo Bertolucci","Bernardo Bertolucci (story), Rudy Wurlitzer (screenplay), Mark Peploe (screenplay)","Keanu Reeves, Ruocheng Ying, Chris Isaak, Alex Wiesendanger",NA,6,10255,"English","Italy, France, Liechtenstein, UK","2 wins & 3 nominations.","2014-03-26 03:35:05.990000000",0
