"ID","imdbID","Title","Year","Rating","Runtime","Genre","Released","Director","Writer","Cast","Metacritic","imdbRating","imdbVotes","Language","Country","Awards","lastUpdated","Oscars"
367652,"tt0367652","Deuce Bigalow: European Gigolo",2005,"R",83,"Comedy","2005-08-12","Mike Bigelow","Harris Goldberg (characters), Rob Schneider (characters), Rob Schneider (story), Rob Schneider (screenplay), David Garrett (screenplay), Jason Ward (screenplay)","Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger",23,4.6,34553,"English, Dutch","USA","1 win & 7 nominations.","2014-03-13 00:05:38.517000000",0
367665,"tt0367665","Doing Time, Doing Vipassana",1997,NA,52,"Documentary",NA,"Eilona Ariel, Ayelet Menahemi",NA,"Kiran Bedi",64,7.8,101,NA,"India, Israel","3 wins.","2014-02-27 12:01:34.010000000",0
367790,"tt0367790","Baadasssss!",2003,"R",109,"Biography, Drama","2005-03-17","Mario Van Peebles","Melvin Van Peebles (book), Mario Van Peebles (screenplay), Dennis Haggerty (screenplay)","Mario Van Peebles, Joy Bryant, T.K. Carter, Terry Crews",75,7.5,3896,"English","USA","3 wins & 9 nominations.","2014-03-22 00:44:09.747000000",0
367859,"tt0367859","The Man Who Copied",2003,"R",124,"Comedy, Crime, Drama","2003-06-13","Jorge Furtado","Jorge Furtado (screenplay)","Lázaro Ramos, Renata de Lélis, Sérgio Lulkin, Heitor Schmidt",49,7.8,5208,"Portuguese","Brazil","11 wins & 11 nominations.","2014-03-11 01:12:03.110000000",0
367882,"tt0367882","Indiana Jones and the Kingdom of the Crystal Skull",2008,"PG-13",122,"Action, Adventure","2008-05-22","Steven Spielberg","David Koepp (screenplay), George Lucas (story), Jeff Nathanson (story), George Lucas (characters), Philip Kaufman (characters)","Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf",65,6.3,254789,"English, German, Russian","USA","Nominated for 1 BAFTA Film Award. Another 6 wins & 25 nominations.","2014-03-26 00:49:16.060000000",0
367913,"tt0367913","Ju-on: The Grudge 2",2003,"R",92,"Drama, Horror","2003-09-05","Takashi Shimizu","Takashi Shimizu, Bobby White (subtitles)","Noriko Sakai, Chiharu Niiyama, Kei Horie, Yui Ichikawa",NA,6.3,4825,"Japanese","Japan","1 nomination.","2014-03-04 00:59:59.333000000",0
367959,"tt0367959","Hannibal Rising",2007,"R",121,"Crime, Drama, Thriller","2007-02-09","Peter Webber","Thomas Harris (screenplay), Thomas Harris (novel)","Aaran Thomas, Gaspard Ulliel, Li Gong, Helena-Lia Tachovská",35,6.2,68550,"English, German, Russian","UK, Czech Republic, France, Italy","2 nominations.","2014-03-25 00:39:32.220000000",0
367960,"tt0367960","The Legend of Johnny Lingo",2003,"G",91,"Action, Adventure, Family","2003-08-29","Steven Ramirez","Riwia Brown (screenplay), John Garbett (screenplay)","George Henare, Rawiri Paratene, Joe Folau, Alvin Fitisemanu",NA,6.3,481,"English","New Zealand","1 win.","2014-03-27 00:05:01.547000000",0
368008,"tt0368008","The Manchurian Candidate",2004,"R",129,"Drama, Mystery, Sci-Fi","2004-07-30","Jonathan Demme","Richard Condon (novel), George Axelrod, Daniel Pyne (screenplay), Dean Georgaris (screenplay)","Jeffrey Wright, Pablo Schreiber, Anthony Mackie, Dorian Missick",76,6.6,73309,"English","USA","Nominated for 1 Golden Globe. Another 1 win & 8 nominations.","2014-03-17 00:11:31.457000000",0
368089,"tt0368089","November",2004,"R",73,"Drama, Mystery, Thriller","2004-01-18","Greg Harrison","Benjamin Brand","Courteney Cox, James Le Gros, Dori Mizrahi, Amir Talai",47,5.6,2627,"English","USA","1 win & 2 nominations.","2014-02-26 02:27:33.593000000",0
368222,"tt0368222","Romance & Cigarettes",2005,"R",105,"Comedy, Musical, Romance",NA,"John Turturro","John Turturro","James Gandolfini, Susan Sarandon, Kate Winslet, Steve Buscemi",55,6.3,8578,"English","USA","1 nomination.","2014-03-20 01:45:06.210000000",0
368226,"tt0368226","The Room",2003,"R",99,"Drama","2003-06-27","Tommy Wiseau","Tommy Wiseau","Tommy Wiseau, Juliette Danielle, Greg Sestero, Philip Haldiman",NA,3.4,18588,"English","USA","1 win.","2014-03-14 00:50:16.563000000",0
368264,"tt0368264","Shakespeare Behind Bars",2005,"M",93,"Documentary",NA,"Hank Rogerson","Hank Rogerson",NA,NA,7.1,298,NA,NA,NA,"2013-11-29 00:00:00",0
368310,"tt0368310","Sunset Story",2003,NA,73,"Documentary","2003-10-09","Laura Gabbert",NA,"Lucille Alpert, Irja Lloyd",80,7.3,124,"English","USA","2 wins.","2014-03-20 01:10:19.350000000",0
368340,"tt0368340","This Is Not a Film",2003,"TV-PG",88,"Comedy, Romance","2003-02-20","Michael A. Nickles","Michael A. Nickles","Michael Leydon Campbell, Nadia Dajani, Craig Carlisle, Jack Kehler",NA,6.1,251,"English","USA","2 wins.","2014-01-15 00:00:00",0
368411,"tt0368411","Virgin",2003,"R",114,"Drama","2003-06-14","Deborah Kampmeier","Deborah Kampmeier","Elisabeth Moss, Stephen Brian Jones, Andrew Thaman, Charles Socarides",48,5.5,464,"English","USA","5 wins & 3 nominations.","2014-03-25 02:45:26.563000000",0
368447,"tt0368447","The Village",2004,"PG-13",108,"Drama, Mystery, Thriller","2004-07-30","M. Night Shyamalan","M. Night Shyamalan","Bryce Dallas Howard, Joaquin Phoenix, Adrien Brody, William Hurt",44,6.5,156425,"English","USA","Nominated for 1 Oscar. Another 3 wins & 10 nominations.","2014-03-17 00:22:50.923000000",0
368578,"tt0368578","Are We There Yet?",2005,"PG",95,"Adventure, Comedy, Drama","2005-01-21","Brian Levant","Steven Gary Banks (story), Claudia Grazioso (story), Steven Gary Banks (screenplay), Claudia Grazioso (screenplay), J. David Stem (screenplay), David N. Weiss (screenplay)","Ice Cube, Nia Long, LeNae Allen, Philip Bolden",27,4.4,17277,"English","USA, Canada","1 win & 8 nominations.","2014-03-21 00:10:58.407000000",0
368709,"tt0368709","Elizabethtown",2005,"PG-13",123,"Comedy, Drama, Romance","2005-10-14","Cameron Crowe","Cameron Crowe","Orlando Bloom, Kirsten Dunst, Susan Sarandon, Alec Baldwin",45,6.4,50500,"English","USA","1 win & 4 nominations.","2014-03-13 00:01:55.140000000",0
368711,"tt0368711","End of the Century",2003,"Unrated",110,"Documentary, Biography, Music","2004-11-27","Jim Fields, Michael Gramaglia",NA,"Marky Ramone, Johnny Ramone, Dee Dee Ramone, Tommy Ramone",74,8,2428,"English","USA","2 nominations.","2014-03-07 00:16:46.227000000",0
368721,"tt0368721","Faster",2003,"PG-13",103,"Documentary","2004-03-07","Mark Neale","Mark Neale","Ewan McGregor, Valentino Rossi, Max Biaggi, Garry McCoy",57,7.9,636,"English","USA, Spain",NA,"2014-03-24 01:16:04.053000000",0
368745,"tt0368745","Girlhood",2003,NA,82,"Documentary, Crime",NA,"Liz Garbus",NA,NA,NA,6.8,236,NA,NA,NA,"2013-10-31 00:00:00",0
368774,"tt0368774","The Heart Is Deceitful Above All Things",2004,"R",97,"Drama","2005-01-19","Asia Argento","Laura Albert (short stories), Asia Argento (screenplay), Alessandro Magania","Asia Argento, Jimmy Bennett, Kara Kemp, Brent Almond",27,6.6,4732,"English","USA, UK, France, Japan","1 nomination.","2014-03-29 02:16:20.857000000",0
368794,"tt0368794","I'm Not There.",2007,"R",135,"Biography, Drama, Music","2007-11-28","Todd Haynes","Todd Haynes (screenplay), Oren Moverman (screenplay), Todd Haynes (story)","Cate Blanchett, Ben Whishaw, Christian Bale, Richard Gere",73,7,41673,"English","USA, Germany, Canada","Nominated for 1 Oscar. Another 23 wins & 14 nominations.","2014-03-28 00:02:10.677000000",0
368891,"tt0368891","National Treasure",2004,"PG",131,"Action, Adventure, Mystery","2004-11-19","Jon Turteltaub","Jim Kouf (screenplay), Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Jim Kouf (story), Oren Aviv (story), Charles Segars (story)","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",39,6.9,199418,"English, Spanish","USA","1 win & 8 nominations.","2014-03-25 00:01:07.983000000",0
368909,"tt0368909","Ong-bak",2003,"R",105,"Action, Thriller","2003-10-23","Prachya Pinkaew","Prachya Pinkaew (story), Panna Rittikrai (story), Suphachai Sittiaumponpan (screenplay)","Petchtai Wongkamlao, Tony Jaa, Pumwaree Yodkamol, Suchao Pongwilai",69,7.2,49636,"Thai, English","Thailand","2 wins & 2 nominations.","2014-03-13 00:13:55.500000000",0
368913,"tt0368913","Osama",2003,"PG-13",83,"Drama","2003-06-27","Siddiq Barmak","Siddiq Barmak","Marina Golbahari, Mohammad Arif Herati, Zubaida Sahar, Mohammad Nadir Khwaja",83,7.4,6744,"Dari, Pushto, English","Afghanistan, Ireland, Japan","Won 1 Golden Globe. Another 14 wins & 9 nominations.","2014-03-22 00:07:28.843000000",0
368933,"tt0368933","The Princess Diaries 2: Royal Engagement",2004,"G",113,"Comedy, Drama, Family","2004-08-11","Garry Marshall","Meg Cabot (characters), Gina Wendkos (story), Shonda Rhimes (story), Shonda Rhimes (screenplay)","Anne Hathaway, Julie Andrews, Hector Elizondo, John Rhys-Davies",43,5.6,34986,"English","USA","1 win & 2 nominations.","2014-03-26 00:28:45.810000000",0
368954,"tt0368954","S21: The Khmer Rouge Death Machine",2003,"Unrated",101,"Documentary, History, War","2004-02-11","Rithy Panh","Rithy Panh","Khieu 'Poev' Ches, Yeay Cheu, Nhiem Ein, Houy Him",75,7.2,664,"Khmer, Vietnamese","Cambodia, France","12 wins & 2 nominations.","2014-03-23 02:19:14.783000000",0
368962,"tt0368962","Mirage",2004,NA,107,"Drama","2007-05-30","Svetozar Ristovski","Svetozar Ristovski, Grace Lea Troje","Vlado Jovanovski, Marko Kovacevic, Jordanco Cevrevski, Elena Mosevska",61,7.7,759,"Macedonian, Albanian","Macedonia","5 wins & 1 nomination.","2014-03-11 00:03:22.187000000",0
368975,"tt0368975","Sleepover",2004,"PG",89,"Comedy","2004-07-09","Joe Nussbaum","Elisa Bell","Alexa PenaVega, Mika Boorem, Jane Lynch, Sam Huntington",33,5.2,10017,"English","USA","1 win & 3 nominations.","2014-03-13 00:08:45",0
369048,"tt0369048","Walking on the Sky",2005,NA,94,"Drama","2005-09-09","Carl T. Evans","Carl T. Evans","Randall Batinkoff, Chris Henry Coffey, Carl T. Evans, Nicole Fonarow",23,4.2,19,"English","USA","1 win.","2014-01-23 00:00:00",0
369053,"tt0369053","Separate Lies",2005,"R",85,"Drama, Romance, Thriller","2005-11-18","Julian Fellowes","Nigel Balchin (based on the novel by ""A Way Through the Wood""), Julian Fellowes","Tom Wilkinson, Emily Watson, Hermione Norris, John Warnaby",71,6.5,3354,"English, French","UK","1 win & 4 nominations.","2014-03-06 00:57:22.453000000",0
369226,"tt0369226","Alone in the Dark",2005,"R",96,"Action, Horror","2005-01-28","Uwe Boll","Elan Mastai, Michael Roesch, Peter Scheerer","Christian Slater, Tara Reid, Stephen Dorff, Frank C. Turner",9,2.3,33994,"English","Canada, Germany, USA","2 nominations.","2014-03-26 01:46:25.083000000",0
369339,"tt0369339","Collateral",2004,"R",120,"Crime, Drama, Thriller","2004-08-06","Michael Mann","Stuart Beattie","Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",71,7.6,239615,"English, Spanish","USA","Nominated for 2 Oscars. Another 20 wins & 36 nominations.","2014-04-04 19:45:13.503000000",0
369436,"tt0369436","Four Christmases",2008,"PG-13",88,"Comedy, Drama, Romance","2008-11-26","Seth Gordon","Matt Allen (screenplay), Caleb Wilson (screenplay), Jon Lucas (screenplay), Scott Moore (screenplay), Matt Allen (story), Caleb Wilson (story)","Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek",41,5.6,38900,"English","USA, Germany","1 win & 1 nomination.","2014-04-04 15:29:41.837000000",0
369441,"tt0369441","Fun with Dick and Jane",2005,"PG-13",90,"Comedy, Crime","2005-12-21","Dean Parisot","Judd Apatow (screenplay), Nicholas Stoller (screenplay), Gerald Gaiser (story), Judd Apatow (story), Nicholas Stoller (story), Gerald Gaiser (novel), David Giler, Jerry Belson, Mordecai Richler","Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins",47,6.1,89307,"English, Spanish","USA","2 nominations.","2014-03-29 00:12:21.607000000",0
369672,"tt0369672","A Love Song for Bobby Long",2004,"R",119,"Drama","2005-01-21","Shainee Gabel","Ronald Everett Capps (novel), Shainee Gabel (screenplay)","John Travolta, Scarlett Johansson, Gabriel Macht, Deborah Kara Unger",48,7.2,19456,"English","USA",NA,"2014-03-26 00:07:56.600000000",0
369702,"tt0369702","The Sea Inside",2004,"PG-13",125,"Biography, Drama","2004-09-03","Alejandro Amenábar","Alejandro Amenábar (screenplay), Mateo Gil (screenplay)","Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera",74,8.1,52503,"Spanish, Catalan, Gallegan","Spain, France, Italy","Won 1 Oscar. Another 61 wins & 30 nominations.","2014-03-17 00:29:29.070000000",1
369735,"tt0369735","Monster-in-Law",2005,"PG-13",101,"Comedy","2005-05-13","Robert Luketic","Anya Kochoff","Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes",31,5.4,33908,"English","Germany, USA","1 win & 10 nominations.","2014-03-31 00:54:32.033000000",0
369994,"tt0369994","Strangers with Candy",2005,"R",97,"Comedy","2006-07-28","Paul Dinello","Stephen Colbert (series Strangers with Candy), Paul Dinello (series Strangers with Candy), Amy Sedaris (series Strangers with Candy), Mitch Rouse (series Strangers with Candy), Stephen Colbert, Paul Dinello, Amy Sedaris","Amy Sedaris, Paul Sedaris, Chandra Wilson, Kristy Thomas",57,6,6315,"English","USA",NA,"2014-03-18 00:31:45.177000000",0
370032,"tt0370032","Ultraviolet",2006,"PG-13",88,"Action, Sci-Fi","2006-03-03","Kurt Wimmer","Kurt Wimmer","Milla Jovovich, Cameron Bright, Nick Chinlund, Sebastien Andrieu",18,4.4,61417,"English, Vietnamese","USA",NA,"2014-03-30 01:03:17.200000000",0
370263,"tt0370263","AVP: Alien vs. Predator",2004,"PG-13",101,"Action, Adventure, Sci-Fi","2004-08-13","Paul W.S. Anderson","Dan O'Bannon (""Alien"" characters), Ronald Shusett (""Alien"" characters), Jim Thomas (""Predator"" characters), John Thomas (""Predator"" characters), Paul W.S. Anderson (screen story), Dan O'Bannon (screen story), Ronald Shusett (screen story), Paul W.S. Anderson (screenplay)","Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner",29,5.5,111584,"English, Italian","USA, UK, Czech Republic, Canada, Germany","1 win & 2 nominations.","2014-03-26 00:29:08.077000000",0
370531,"tt0370531","She's One of Us",2003,NA,98,"Drama","2003-09-24","Siegrid Alnoy","Siegrid Alnoy, Jérôme Beaujour, François Favrat","Sasha Andres, Carlo Brandt, Pierre-Félix Gravière, Catherine Mouchet",52,6.3,187,"French","France","3 wins & 1 nomination.","2014-03-09 00:43:16.827000000",0
370986,"tt0370986","Mysterious Skin",2004,"NC-17",105,"Drama","2005-08-25","Gregg Araki","Gregg Araki (screenplay), Scott Heim (novel)","Chase Ellison, George Webster, Rachael Nastassja Kraft, Lisa Long",74,7.8,46707,"English","USA, Netherlands","6 wins & 6 nominations.","2014-03-06 00:18:03.087000000",0
371246,"tt0371246","Spanglish",2004,"PG-13",131,"Comedy, Drama, Romance","2004-12-17","James L. Brooks","James L. Brooks","Adam Sandler, Téa Leoni, Paz Vega, Cloris Leachman",48,6.5,55072,"English, Spanish","USA","Nominated for 1 Golden Globe. Another 4 wins & 9 nominations.","2014-03-17 01:22:18.553000000",0
371255,"tt0371255","Starkiss: Circus Girls in India",2003,NA,77,"Documentary","2003-02-13","Jascha de Wilde, Chris Relleke","Chris Relleke, Jascha de Wilde",NA,NA,7.4,21,NA,NA,NA,"2013-10-12 00:00:00",0
371257,"tt0371257","Stay",2005,"R",99,"Drama, Mystery, Thriller","2005-10-21","Marc Forster","David Benioff","Ewan McGregor, Ryan Gosling, Kate Burton, Naomi Watts",41,6.9,49719,"English","USA",NA,"2014-03-13 00:19:56.777000000",0
371280,"tt0371280","Crimson Gold",2003,"Unrated",95,"Drama, Thriller","2003-09-12","Jafar Panahi","Abbas Kiarostami (screenplay)","Hossain Emadeddin, Kamyar Sheisi, Azita Rayeji, Shahram Vaziri",81,7.6,2766,"Persian","Iran","4 wins.","2014-03-17 00:15:34.830000000",0
371583,"tt0371583","Bonhoeffer",2003,NA,93,"Documentary, Biography, History","2003-06-20","Martin Doblmeier","Martin Doblmeier","Martin Doblmeier, Klaus Maria Brandauer, Adele Schmidt, Richard Mancini",NA,7,272,"English, German","USA",NA,"2014-02-23 02:14:09.973000000",0
371606,"tt0371606","Chicken Little",2005,"G",81,"Animation, Adventure, Comedy","2005-11-04","Mark Dindal","Mark Dindal (story), Mark Kennedy (story), Steve Bencich (screenplay), Ron J. Friedman (screenplay), Ron Anderson (screenplay), Robert L. Baird (additional story material), Daniel Gerson (additional story material), Sara Parriott (additional screenplay material), Josann McGibbon (additional screenplay material), David Reynolds (additional dialogue), Sandra Tsing Loh (additional dialogue)","Zach Braff, Garry Marshall, Don Knotts, Patrick Stewart",48,5.8,45471,"English","USA","3 wins & 14 nominations.","2014-03-06 00:26:07.360000000",0
371683,"tt0371683","Games People Play: New York",2004,"Not Rated",97,"Comedy","2004-03-12","James Ronald Whitney","James Ronald Whitney","Joshua Coleman, Dani Marco, David Maynard, Scott Ryan",32,5.4,190,"English","USA",NA,"2014-04-02 00:02:07.743000000",0
371739,"tt0371739","The Zodiac",2005,"R",92,"Crime, Drama, Horror","2006-08-03","Alexander Bulkley","Alexander Bulkley, Kelly Bulkley","Justin Chambers, Robin Tunney, Rory Culkin, William Mapother",21,5.4,5577,"English","USA",NA,"2014-03-04 02:07:58.467000000",0
371746,"tt0371746","Iron Man",2008,"PG-13",126,"Action, Adventure, Sci-Fi","2008-05-02","Jon Favreau","Mark Fergus (screenplay), Hawk Ostby (screenplay), Art Marcum (screenplay), Matt Holloway (screenplay), Stan Lee (characters), Don Heck (characters), Larry Lieber (characters), Jack Kirby (characters)","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",79,7.9,467927,"English, Persian, Urdu, Arabic","USA","Nominated for 2 Oscars. Another 15 wins & 43 nominations.","2014-03-13 00:02:38.030000000",0
371939,"tt0371939","Secuestro express",2005,"R",86,"Action, Crime, Drama","2006-03-10","Jonathan Jakubowicz","Jonathan Jakubowicz","Mía Maestro, Rubén Blades, Carlos Julio Molina, Pedro Perez",48,6.6,1993,"Spanish","Venezuela","2 nominations.","2014-04-04 16:50:26.680000000",0
372122,"tt0372122","Adam & Steve",2005,"R",99,"Comedy, Drama, Music","2007-05-17","Craig Chester","Craig Chester","Malcolm Gets, Cary Curran, Craig Chester, Parker Posey",48,6,2422,"English","USA","1 nomination.","2014-03-09 00:04:00.807000000",0
372183,"tt0372183","The Bourne Supremacy",2004,"PG-13",108,"Action, Crime, Thriller","2004-07-23","Paul Greengrass","Robert Ludlum (novel), Tony Gilroy (screenplay)","Matt Damon, Franka Potente, Brian Cox, Julia Stiles",73,7.8,251871,"English, Russian, German, Italian","USA, Germany","5 wins & 19 nominations.","2014-03-15 00:20:29.293000000",0
372237,"tt0372237","Guess Who",2005,"PG-13",105,"Comedy, Romance","2005-03-25","Kevin Rodney Sullivan","William Rose (motion picture ""Guess Who's Coming to Dinner""), David Ronn (story), Jay Scherick (story), David Ronn (screenplay), Jay Scherick (screenplay), Peter Tolan (screenplay)","Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott",49,5.9,28766,"English","USA","16 nominations.","2014-03-31 00:00:19.150000000",0
372279,"tt0372279","Festival Express",2003,"R",90,"Documentary, History, Music","2004-04-29","Bob Smeaton, Frank Cvitanovich",NA,"Rick Danko, Levon Helm, Garth Hudson, Richard Manuel",85,7.6,1718,"English","UK, Netherlands","2 nominations.","2014-04-01 00:21:24.360000000",0
372334,"tt0372334","House of D",2004,"PG-13",97,"Comedy, Drama","2005-09-23","David Duchovny","David Duchovny","Anton Yelchin, Robin Williams, Téa Leoni, Erykah Badu",33,7,6483,"English, French","USA",NA,"2014-03-10 00:25:47.623000000",0
372346,"tt0372346","Iowa",2005,NA,104,"Crime, Drama","2005-04-22","Matt Farnsworth","Matt Farnsworth","Matt Farnsworth, Diane Foster, John Savage, Rosanna Arquette",35,5.1,311,"English","USA",NA,"2014-03-07 01:12:35.087000000",0
372532,"tt0372532","The Wedding Date",2005,"PG-13",90,"Comedy, Romance","2005-02-04","Clare Kilner","Elizabeth Young (book), Dana Fox (screenplay)","Debra Messing, Dermot Mulroney, Amy Adams, Jack Davenport",32,6,28582,"English","USA",NA,"2014-03-30 01:09:26.373000000",0
372588,"tt0372588","Team America: World Police",2004,"R",98,"Animation, Action, Adventure","2004-10-15","Trey Parker","Trey Parker, Matt Stone, Pam Brady","Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo",64,7.2,110704,"English, French, Klingon, Korean, Arabic","USA, Germany","1 win & 7 nominations.","2014-04-01 00:07:12.347000000",0
372763,"tt0372763","The Animation Show",2003,"R",94,"Animation, Comedy","2003-07-18",NA,NA,NA,NA,7.6,421,"English, Japanese, German","USA",NA,"2014-03-01 05:09:41.790000000",0
372784,"tt0372784","Batman Begins",2005,"PG-13",140,"Action, Adventure, Crime","2005-06-15","Christopher Nolan","Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",70,8.3,657342,"English, Urdu, Mandarin","USA, UK","Nominated for 1 Oscar. Another 9 wins & 44 nominations.","2014-03-17 00:02:03.550000000",0
372806,"tt0372806","Bright Leaves",2003,NA,107,"Documentary, Biography, Comedy","2004-10-08","Ross McElwee","Ross McElwee","Allan Gurganus, Paula Larke, Marilyn Levine, Emily Madison",79,7.1,456,"English","USA, UK","1 win & 5 nominations.","2014-03-10 00:11:15.373000000",0
372814,"tt0372814","Free Radicals",2003,NA,120,"Drama, Romance","2003-11-21","Barbara Albert","Barbara Albert","Kathrin Resetarits, Ursula Strauss, Georg Friedrich, Marion Mitterhammer",58,6.4,442,"German","Austria, Germany, Switzerland","2 nominations.","2014-03-12 00:31:44.987000000",0
372824,"tt0372824","The Chorus",2004,"PG-13",97,"Drama, Music","2004-03-17","Christophe Barratier","Georges Chaperot, René Wheeler, René Wheeler, Noël-Noël, Christophe Barratier (screen story), Christophe Barratier (screenplay), Philippe Lopes-Curval (screenplay)","Gérard Jugnot, François Berléand, Kad Merad, Jean-Paul Bonnaire",56,7.9,33892,"French","France, Switzerland, Germany","Nominated for 2 Oscars. Another 12 wins & 21 nominations.","2014-03-14 00:17:46.050000000",0
372873,"tt0372873","Dragon Wars: D-War",2007,"PG-13",90,"Action, Drama, Fantasy","2007-09-14","Hyung-rae Shim","Hyung-rae Shim","Jason Behr, Amanda Brooks, Robert Forster, Craig Robinson",33,3.6,19814,"English, Korean","South Korea","1 nomination.","2014-03-26 01:30:11.707000000",0
372884,"tt0372884","Eating Out",2004,"Unrated",90,"Comedy, Drama, Romance","2012-02-24","Q. Allan Brocka","Q. Allan Brocka","Rebekah Kochan, Scott Lunsford, Jim Verraros, Natalie Burge",28,6.1,3924,"English","USA","6 wins.","2014-03-30 04:23:30.780000000",0
372921,"tt0372921","Flesh for the Beast",2003,"R",89,"Fantasy, Horror","2003-09-27","Terry M. West","Terry M. West","Jane Scarlett, Sergio Jones, Clark Beasley Jr., Jim Coope",28,3.1,965,"English","USA","1 nomination.","2014-03-12 00:04:38.683000000",0
373024,"tt0373024","Imaginary Heroes",2004,"R",111,"Comedy, Drama","2005-11-10","Dan Harris","Dan Harris","Sigourney Weaver, Emile Hirsch, Jeff Daniels, Michelle Williams",53,7.3,8113,"English","USA, Germany, Belgium","1 win & 2 nominations.","2014-03-19 02:17:03.727000000",0
373051,"tt0373051","Journey to the Center of the Earth",2008,"PG",93,"Action, Adventure, Family","2008-07-11","Eric Brevig","Michael D. Weiss (screenplay), Jennifer Flackett (screenplay), Mark Levin (screenplay), Jules Verne (novel)","Brendan Fraser, Josh Hutcherson, Anita Briem, Seth Meyers",57,5.8,61873,"English, Icelandic, Italian","USA","1 win & 3 nominations.","2014-03-21 00:10:40.470000000",0
373074,"tt0373074","Kung Fu Hustle",2004,"R",99,"Action, Comedy, Crime","2005-04-22","Stephen Chow","Man Keung Chan, Stephen Chow, Xin Huo, Kan-Cheung Tsang","Stephen Chow, Xiaogang Feng, Wah Yuen, Zhi Hua Dong",78,7.8,79709,"Cantonese","Hong Kong, China","Nominated for 1 Golden Globe. Another 22 wins & 32 nominations.","2014-03-26 01:03:43.280000000",0
373152,"tt0373152","Mind the Gap",2004,"R",134,"Comedy, Drama","2004-03-13","Eric Schaeffer","Eric Schaeffer","Alan King, Elizabeth Reaser, Eric Schaeffer, Christopher Kovaleski",46,7.2,724,"English","USA",NA,"2014-03-05 01:53:18.570000000",0
373175,"tt0373175","My Architect",2003,NA,116,"Documentary, Biography","2003-11-12","Nathaniel Kahn","Nathaniel Kahn","Edmund Bacon, Edwina Pattison Daniels, Balkrishna Doshi, Frank O. Gehry",81,7.4,2401,"English","USA","Nominated for 1 Oscar. Another 7 wins & 3 nominations.","2014-03-11 01:06:05.750000000",0
373283,"tt0373283","Saints and Soldiers",2003,"PG-13",90,"Action, Adventure, Drama","2005-03-25","Ryan Little","Geoffrey Panos (story), Matt Whitaker","Corbin Allred, Alexander Polinsky, Kirby Heyborne, Larry Bagby",56,6.9,15246,"English, German","USA","16 wins & 2 nominations.","2014-03-15 00:15:18.967000000",0
373389,"tt0373389","Tibet: Cry of the Snow Lion",2002,"Unrated",104,"Documentary, History","2003-09-12","Tom Piozet","Maria Florio, Victoria Mudd, Sue Peosay","Edward Edwards, Ed Harris, Shirley Knight, Tim Robbins",75,7.5,545,"English","USA",NA,"2014-03-05 00:29:37.013000000",0
373416,"tt0373416","Underclassman",2005,"PG-13",95,"Action, Comedy, Crime","2005-09-02","Marcos Siega","Brent Goldberg (story), David Wagner (story), Nick Cannon (story), David Wagner (screenplay), Brent Goldberg (screenplay)","Nick Cannon, Adrian Young, Art Bonilla, Bart McCarthy",19,3.9,4331,"English","USA",NA,"2014-03-14 00:05:21.673000000",0
373445,"tt0373445","The Wendell Baker Story",2005,"PG-13",99,"Comedy, Drama, Romance","2005-08-03","Andrew Wilson, Luke Wilson","Luke Wilson","Luke Wilson, Eva Mendes, Jacob Vargas, Owen Wilson",44,5.5,4774,"English, Spanish","USA, Germany","1 win.","2014-03-15 00:14:31.467000000",0
373469,"tt0373469","Kiss Kiss Bang Bang",2005,"R",103,"Action, Comedy, Crime","2005-09-14","Shane Black","Brett Halliday (novel), Shane Black (screen story), Shane Black (screenplay)","Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen",72,7.7,142953,"English","USA","4 wins & 12 nominations.","2014-04-01 00:41:12.893000000",0
373861,"tt0373861","The Story of the Weeping Camel",2003,"PG",93,"Documentary, Drama, Family","2004-01-08","Byambasuren Davaa, Luigi Falorni","Byambasuren Davaa, Batbayar Davgadorj, Luigi Falorni","Janchiv Ayurzana, Chimed Ohin, Amgaabazar Gonson, Zeveljamz Nyam",81,7.5,4838,"Mongolian","Germany, Mongolia","Nominated for 1 Oscar. Another 11 wins & 6 nominations.","2014-03-15 00:19:42.763000000",0
373883,"tt0373883","Halloween",2007,"R",109,"Horror","2007-08-31","Rob Zombie","Rob Zombie (screenplay), John Carpenter, Debra Hill","Malcolm McDowell, Brad Dourif, Tyler Mane, Daeg Faerch",47,6.1,72927,"English","USA","1 nomination.","2014-03-31 00:42:21.570000000",0
